Wavelength (nm),E_res (eV),Width (nm),Length (nm),AspectRatio,Linewidth (eV),Linewidth (nm),MaxCscat
745,1.664214765,23.0111,86.0111,3.737809144,0.082641612,37,6.18E-15
716,1.731620112,23.0405,79.0842,3.43239947,0.077380857,32,5.02E-15
771,1.608093385,23.0692,91.6668,3.973557817,0.083418204,40,6.96E-15
708,1.751186441,23.179,76.861,3.315975668,0.076666349,31,4.60E-15
708,1.751186441,23.179,77.0011,3.322019932,0.076666349,31,4.63E-15
712,1.741348315,23.179,77.861,3.359118167,0.075807349,31,4.83E-15
717,1.729205021,23.179,78.861,3.402260667,0.077165161,32,4.98E-15
704,1.761136364,23.1941,75.6112,3.259932483,0.075038741,30,4.31E-15
722,1.717229917,23.2822,79.8825,3.431054625,0.07847822,33,5.15E-15
780,1.589538462,23.3057,93.1702,3.997743041,0.085579489,42,7.12E-15
785,1.579414013,23.3057,94.1702,4.040651,0.086504509,43,7.25E-15
708,1.751186441,23.3892,77.0025,3.292224616,0.079139457,32,4.66E-15
710,1.746253521,23.3892,77.4625,3.311891813,0.078694229,32,4.69E-15
710,1.746253521,23.3895,77.4743,3.312353834,0.078694229,32,4.69E-15
699,1.773733906,23.4902,75.473,3.212956893,0.078653299,31,4.27E-15
714,1.736470588,23.5822,79.4825,3.370444657,0.07781497,32,5.24E-15
716,1.731620112,23.5822,79.8825,3.387406603,0.079799009,33,5.34E-15
705,1.758638298,23.6892,77.0025,3.250531888,0.077320217,31,4.74E-15
724,1.712486188,23.722,82.6384,3.483618582,0.080410245,34,5.92E-15
762,1.627086614,23.8222,90.2232,3.787358011,0.08540035,40,7.02E-15
698,1.776275072,23.857,75.0433,3.145546381,0.07633435,30,4.33E-15
702,1.766153846,23.8697,75.6903,3.17097827,0.077982485,31,4.40E-15
692,1.791676301,23.9057,73.5433,3.076391823,0.077663806,30,4.05E-15
695,1.783942446,23.9057,74.0433,3.097307337,0.076994774,30,4.17E-15
697,1.778823529,23.957,74.5433,3.111545686,0.079105329,31,4.23E-15
701,1.768673324,24.0089,75.7003,3.153009925,0.078205133,31,4.13E-15
702,1.766153846,24.0089,76.5002,3.186326737,0.077982485,31,4.63E-15
741,1.673198381,24.0111,85.6111,3.565480132,0.081278501,36,6.35E-15
727,1.705419532,24.0762,82.389,3.422010118,0.08209351,35,5.82E-15
686,1.807346939,24.1057,74.0433,3.071609619,0.079028297,30,4.18E-15
687,1.804716157,24.157,74.3432,3.077501345,0.076171784,29,4.20E-15
684,1.812631579,24.1713,74.3903,3.077629255,0.079491127,30,4.17E-15
693,1.789090909,24.3089,76.5002,3.147003772,0.077439829,30,4.75E-15
697,1.778823529,24.3111,77.5111,3.188300817,0.079105329,31,5.00E-15
755,1.642172185,24.3222,91.7232,3.771172016,0.084816492,39,7.80E-15
759,1.633517787,24.3222,92.7232,3.812286717,0.086076786,40,7.98E-15
713,1.738906031,24.3762,82.389,3.379895144,0.080471942,33,6.17E-15
685,1.809985401,24.5089,76.0002,3.100922522,0.079259205,30,4.68E-15
706,1.756147309,24.5762,81.389,3.311699937,0.082075614,33,6.02E-15
752,1.648723404,24.6222,92.7232,3.765837334,0.085494569,39,8.28E-15
733,1.691459754,24.644,88.051,3.572918357,0.085369626,37,7.44E-15
739,1.677726658,24.644,89.051,3.613496186,0.083989007,37,7.57E-15
715,1.734041958,25.0035,84.0057,3.359757634,0.080022379,33,6.71E-15
718,1.726796657,25.0198,84.587,3.380802404,0.081759764,34,6.78E-15
700,1.7712,25.0225,80.0097,3.197510241,0.080958695,32,5.77E-15
723,1.714854772,25.1111,87.1111,3.469027641,0.085375942,36,7.52E-15
693,1.789090909,25.11,78.5268,3.127311828,0.080021157,31,5.27E-15
781,1.587503201,25.123,100.415,3.996935079,0.091457652,45,9.84E-15
728,1.703076923,25.1441,88.1511,3.505836359,0.084207223,36,7.73E-15
673,1.842258544,25.157,73.3432,2.915419168,0.082110884,30,4.04E-15
744,1.666451613,25.2,91.5,3.630952381,0.087343047,39,8.35E-15
696,1.78137931,25.3225,79.7097,3.147781617,0.079332806,31,5.66E-15
696,1.78137931,25.3225,80.0097,3.159628789,0.081891929,32,5.86E-15
712,1.741348315,25.3493,83.857,3.308059789,0.083143544,34,6.83E-15
722,1.717229917,25.5111,87.9111,3.445994097,0.085612604,36,7.87E-15
721,1.71961165,25.6441,88.1511,3.437480746,0.085850252,36,8.02E-15
641,1.934227769,25.7,64.5,2.509727626,0.129736447,43,1.34E-15
736,1.684565217,25.7,91.01,3.541245136,0.086963612,38,8.53E-15
705,1.758638298,25.8493,82.857,3.205386606,0.082308618,33,6.65E-15
644,1.925217391,25.8,66,2.558139535,0.098639715,33,2.02E-15
