Wavelength (nm),E_res (eV),Width (nm),Length (nm),AspectRatio,Linewidth (eV),Linewidth (nm),MaxCscat
589,2.104991511,48.3,86.3,1.786749482,0.1822423,51,5.14E-15
601,2.06296173,48.3,92.3,1.910973085,0.171605286,50,7.95E-15
593,2.09079258,48.7,90,1.848049281,0.183317345,52,6.43E-15
647,1.916290572,48,110,2.291666667,0.156955634,53,1.98E-14
584,2.123013699,48,83,1.729166667,0.189011075,52,3.89E-15
584,2.123013699,48,84,1.75,0.192645903,53,4.26E-15
603,2.056119403,48,92.8,1.933333333,0.173878207,51,8.10E-15
595,2.083764706,49.5,91,1.838383838,0.192592052,55,6.65E-15
583,2.126655232,49.8,84.87,1.704216867,0.207896581,57,4.20E-15
599,2.06984975,49,92,1.87755102,0.17966327,52,7.34E-15
606,2.045940594,49,96,1.959183673,0.182288014,54,9.36E-15
614,2.019283388,50,100,2,0.190722027,58,1.13E-14
569,2.178980668,50,77.5,1.55,0.225910845,59,2.39E-15
586,2.115767918,50,86.7,1.734,0.198553277,55,4.89E-15
598,2.073311037,50,93,1.86,0.180264653,52,7.84E-15
585,2.119384615,51.4,88,1.712062257,0.202855084,56,5.20E-15
616,2.012727273,51.5,104,2.019417476,0.192752575,59,1.36E-14
594,2.087272727,51.5,93.1,1.80776699,0.189727582,54,7.63E-15
581,2.133975904,51,85.7,1.680392157,0.201985422,55,4.54E-15
591,2.09786802,52.3,92,1.759082218,0.191658639,54,7.11E-15
622,1.993311897,52,107,2.057692308,0.195460348,61,1.56E-14
709,1.748716502,53,143,2.698113208,0.194824793,79,4.18E-14
593,2.09079258,54.4,96.3,1.770220588,0.211520014,60,8.56E-15
586,2.115767918,54.7,93,1.700182815,0.209383456,58,7.04E-15
687,1.804716157,54,136,2.518518519,0.191742766,73,3.83E-14
681,1.82061674,55,135,2.454545455,0.192463276,72,3.79E-14
696,1.78137931,55,141,2.563636364,0.199611577,78,4.14E-14
749,1.655327103,57,163,2.859649123,0.225395966,102,5.26E-14
741,1.673198381,58,161,2.775862069,0.228031351,101,5.21E-14
656,1.89,62,133,2.14516129,0.216054435,75,3.64E-14
669,1.853273543,62,139,2.241935484,0.218818712,79,4.10E-14
674,1.839525223,62,141,2.274193548,0.221042013,81,4.23E-14
650,1.907446154,63,132,2.095238095,0.222995696,76,3.49E-14
668,1.856047904,64.5,142.5,2.209302326,0.236143286,85,4.29E-14
659,1.881396055,64,137.5,2.1484375,0.228364588,80,3.97E-14
683,1.815285505,64,147.5,2.3046875,0.239172203,90,4.64E-14
663,1.870045249,65.5,141,2.152671756,0.236898238,84,4.23E-14
654,1.895779817,65,136,2.092307692,0.234768121,81,3.82E-14
660,1.878545455,65,139,2.138461538,0.233364926,82,4.09E-14
662,1.872870091,65,140,2.153846154,0.237614484,84,4.15E-14
671,1.847749627,65,144,2.215384615,0.236789812,86,4.43E-14
673,1.842258544,65,145,2.230769231,0.238121564,87,4.51E-14
667,1.858830585,66,143,2.166666667,0.239638386,86,4.38E-14
704,1.761136364,66,158,2.393939394,0.25763301,103,5.27E-14
639,1.94028169,67,131.5,1.962686567,0.248955507,82,3.34E-14
657,1.887123288,67,140,2.089552239,0.244116868,85,4.13E-14
685,1.809985401,68.5,154,2.248175182,0.266839325,101,5.08E-14
634,1.955583596,68,130,1.911764706,0.255981853,83,3.18E-14
681,1.82061674,69.5,153,2.201438849,0.264637005,99,5.04E-14
640,1.93725,70,135,1.928571429,0.263310942,87,3.62E-14
734,1.689155313,70,174,2.485714286,0.287625572,125,6.16E-14
650,1.907446154,72,141,1.958333333,0.269942158,92,4.17E-14
708,1.751186441,72,166,2.305555556,0.291826747,118,5.82E-14
724,1.712486188,72,172,2.388888889,0.295625902,125,6.12E-14
677,1.831373708,74,156,2.108108108,0.289411672,107,5.29E-14
659,1.881396055,75,148,1.973333333,0.288310292,101,4.70E-14
658,1.884255319,75,149,1.986666667,0.292050522,102,4.82E-14
691,1.794269175,75,163,2.173333333,0.301169853,116,5.71E-14
710,1.746253521,75,170.5,2.273333333,0.307399331,125,6.10E-14
667,1.858830585,76,153.5,2.019736842,0.295368243,106,5.16E-14
705,1.758638298,76,169,2.223684211,0.311775067,125,6.06E-14
681,1.82061674,77,161,2.090909091,0.310079723,116,5.62E-14
678,1.828672566,78.3,161,2.056194125,0.315526671,117,5.65E-14
661,1.87570348,78,153,1.961538462,0.306429405,108,5.13E-14
668,1.856047904,79.5,157.7,1.983647799,0.316709819,114,5.45E-14
716,1.731620112,79.5,176.9,2.225157233,0.333704946,138,6.54E-14
654,1.895779817,79,149,1.886075949,0.307227418,106,4.79E-14
671,1.847749627,80.5,160,1.98757764,0.324897649,118,5.61E-14
651,1.904516129,80,149.5,1.86875,0.310065531,106,4.86E-14
651,1.904516129,80,150,1.875,0.315915824,108,4.90E-14
663,1.870045249,80,156,1.95,0.318684535,113,5.34E-14
647,1.916290572,81.3,149,1.832718327,0.319834123,108,4.82E-14
643,1.928211509,81,147,1.814814815,0.320827387,107,4.60E-14
649,1.910385208,81,150,1.851851852,0.32080912,109,4.88E-14
645,1.922232558,82.5,149,1.806060606,0.330760128,111,4.77E-14
643,1.928211509,82,147,1.792682927,0.323825774,108,4.63E-14
654,1.895779817,82,153,1.865853659,0.324617649,112,5.16E-14
665,1.864421053,82,158,1.926829268,0.327983634,117,5.51E-14
650,1.907446154,83.5,151.5,1.814371257,0.334493544,114,5.01E-14
641,1.934227769,83,147,1.771084337,0.33490106,111,4.58E-14
648,1.913333333,83,151,1.819277108,0.330656918,112,4.97E-14
695,1.783942446,83,172.5,2.078313253,0.349042975,136,6.38E-14
660,1.878545455,84,158,1.880952381,0.341509648,120,5.55E-14
640,1.93725,85,149,1.752941176,0.345028131,114,4.80E-14
663,1.870045249,86,161,1.872093023,0.355347358,126,5.78E-14
706,1.756147309,86,179,2.081395349,0.365609553,147,6.81E-14
660,1.878545455,87,161,1.850574713,0.361431044,127,5.79E-14
665,1.864421053,87,163,1.873563218,0.361622981,129,5.92E-14
698,1.776275072,87,177,2.034482759,0.374038315,147,6.72E-14
691,1.794269175,88,175,1.988636364,0.376462316,145,6.65E-14
607,2.042570016,90,140,1.555555556,0.386927912,115,4.11E-14
640,1.93725,90,153,1.7,0.375293756,124,5.19E-14
668,1.856047904,90,167,1.855555556,0.383385571,138,6.24E-14
675,1.8368,91,171,1.879120879,0.394520939,145,6.50E-14
655,1.892885496,92,162,1.760869565,0.392975894,136,5.96E-14
661,1.87570348,92,165,1.793478261,0.394385994,139,6.17E-14
622,1.993311897,93,148,1.591397849,0.406942036,127,4.81E-14
669,1.853273543,93,170,1.827956989,0.407168996,147,6.50E-14
625,1.983744,94,150,1.595744681,0.415739092,131,4.98E-14
661,1.87570348,98,170,1.734693878,0.445457562,157,6.65E-14
605,2.049322314,99,146,1.474747475,0.447067175,132,4.89E-14
612,2.025882353,99,150,1.515151515,0.460067503,139,5.15E-14
